id,city,state,zipcode,property_type,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,review_scores_rating,cancellation_policy
19362401,Asheville,NC,28806,House,2.5,4,7,Real Bed,$40.00 ,1,$0.00 ,100,moderate
19381523,Asheville,NC,28804,Apartment,1.5,1,1,Real Bed,$50.00 ,2,$40.00 ,99,strict_14_with_grace_period
19387344,Asheville,NC,28803,Bungalow,1,1,1,Real Bed,$0.00 ,1,$0.00 ,95,moderate
19388286,Asheville,NC,28806,Cottage,1,1,1,Real Bed,$85.00 ,1,$0.00 ,100,moderate
19406211,Asheville,NC,28805,Apartment,1,0,1,Real Bed,$0.00 ,1,$0.00 ,94,moderate
19409581,Asheville,NC,28805,House,1,1,1,Real Bed,$20.00 ,1,$0.00 ,99,flexible
19412393,Asheville,NC,28804,Guest suite,1,1,3,Real Bed,$50.00 ,4,$0.00 ,100,moderate
19415618,Asheville,NC,28803,House,2,2,3,Real Bed,$125.00 ,1,$0.00 ,100,moderate
19453046,Asheville,NC,28806,House,1,3,5,Real Bed,,4,$50.00 ,96,moderate
19472469,Asheville,NC,28806,House,1,2,3,Real Bed,$55.00 ,2,$12.00 ,99,strict_14_with_grace_period
19486051,Arden,NC,28704,Townhouse,1.5,1,1,Real Bed,$10.00 ,1,$0.00 ,99,flexible
19490081,Asheville,NC,28801,Bungalow,1,1,1,Real Bed,,1,$0.00 ,99,flexible
19529697,Asheville,NC,28732,House,1.5,4,9,Real Bed,$125.00 ,4,$10.00 ,98,strict_14_with_grace_period
19531546,Asheville,NC,28806,House,2,2,2,Real Bed,$85.00 ,4,$50.00 ,96,moderate
19542299,Asheville,NC,28803,House,3,4,4,Real Bed,$200.00 ,1,$0.00 ,96,moderate
19548415,Asheville,NC,28804,Guest suite,1,1,1,Real Bed,$35.00 ,1,$0.00 ,100,flexible
19561946,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$40.00 ,1,$0.00 ,90,strict_14_with_grace_period
19608022,Asheville,NC,28804,Bungalow,2,2,2,Real Bed,$75.00 ,1,$0.00 ,100,moderate
19609285,Asheville,NC,28803,Guest suite,1,0,2,Real Bed,$35.00 ,2,$25.00 ,99,moderate
19610809,Asheville,NC,28806,Bungalow,2,3,3,Real Bed,$60.00 ,1,$0.00 ,100,flexible
19620931,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$50.00 ,2,$75.00 ,,flexible
19622621,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$60.00 ,2,$25.00 ,98,moderate
19625971,Asheville,NC,28804,House,2,3,4,Real Bed,$75.00 ,6,$10.00 ,98,moderate
19629824,Asheville,NC,28806,Bungalow,2,3,4,Real Bed,$94.00 ,2,$40.00 ,94,strict_14_with_grace_period
19643402,Asheville,NC,28804,Guest suite,1,1,3,Real Bed,$35.00 ,1,$15.00 ,99,moderate
19700502,Asheville,NC,28806,Guesthouse,1,1,2,Real Bed,$40.00 ,2,$25.00 ,99,moderate
19701203,Asheville,NC,28806,House,1,2,2,Real Bed,$65.00 ,1,$0.00 ,90,strict_14_with_grace_period
19708817,Asheville,NC,28806,Camper/RV,1,1,3,Real Bed,$45.00 ,2,$15.00 ,99,moderate
19711006,Asheville,NC,28804,Guest suite,1,1,2,Real Bed,$20.00 ,1,$0.00 ,94,moderate
19716355,Asheville,NC,28801,House,1,1,1,Real Bed,$25.00 ,2,$95.00 ,98,moderate
19719866,Asheville,NC,28806,Bungalow,1,0,2,Real Bed,,1,$0.00 ,99,flexible
19733975,Asheville,NC,28805,House,1,1,1,Real Bed,$15.00 ,1,$0.00 ,95,flexible
19742574,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$35.00 ,2,$0.00 ,98,moderate
19744619,Woodfin,NC,28804,Bungalow,1,1,1,Real Bed,,1,$0.00 ,95,flexible
19751438,Asheville,NC,28806,House,1,1,1,Real Bed,$10.00 ,1,$0.00 ,97,moderate
19761806,Asheville,NC,28806,Bungalow,1,1,1,Real Bed,$20.00 ,1,$0.00 ,100,flexible
19785945,Asheville,NC,28806,Apartment,1,0,2,Real Bed,$40.00 ,4,$20.00 ,99,moderate
